{'loss': 1.09, 'learning_rate': 1.9582575305778297e-05, 'epoch': 0.36}
{'loss': 1.0535, 'learning_rate': 1.9574935977637994e-05, 'epoch': 0.36}
{'loss': 1.1156, 'learning_rate': 1.9567228895398936e-05, 'epoch': 0.36}
{'loss': 1.1096, 'learning_rate': 1.955945411359792e-05, 'epoch': 0.37}
{'loss': 1.0791, 'learning_rate': 1.9551611687250808e-05, 'epoch': 0.37}
{'loss': 1.0338, 'learning_rate': 1.9543701671852127e-05, 'epoch': 0.37}
{'loss': 1.0454, 'learning_rate': 1.9535724123374674e-05, 'epoch': 0.37}
{'loss': 1.1416, 'learning_rate': 1.952767909826913e-05, 'epoch': 0.38}
{'loss': 1.0326, 'learning_rate': 1.951956665346364e-05, 'epoch': 0.38}
{'loss': 1.0339, 'learning_rate': 1.951138684636344e-05, 'epoch': 0.38}
{'loss': 1.0931, 'learning_rate': 1.9503139734850426e-05, 'epoch': 0.38}
{'loss': 1.086, 'learning_rate': 1.9494825377282746e-05, 'epoch': 0.39}
{'loss': 1.0165, 'learning_rate': 1.9486443832494414e-05, 'epoch': 0.39}
{'loss': 1.105, 'learning_rate': 1.9477995159794854e-05, 'epoch': 0.39}
{'loss': 1.1327, 'learning_rate': 1.9469479418968506e-05, 'epoch': 0.39}
{'loss': 0.9772, 'learning_rate': 1.9460896670274408e-05, 'epoch': 0.4}
{'loss': 1.0945, 'learning_rate': 1.9452246974445743e-05, 'epoch': 0.4}
{'loss': 1.051, 'learning_rate': 1.9443530392689434e-05, 'epoch': 0.4}
{'loss': 1.1113, 'learning_rate': 1.94347469866857e-05, 'epoch': 0.4}
{'loss': 1.0178, 'learning_rate': 1.9425896818587615e-05, 'epoch': 0.41}
{'loss': 1.1139, 'learning_rate': 1.941697995102069e-05, 'epoch': 0.41}
{'loss': 1.1137, 'learning_rate': 1.9407996447082394e-05, 'epoch': 0.41}
{'loss': 1.1336, 'learning_rate': 1.939894637034174e-05, 'epoch': 0.41}
{'loss': 1.0671, 'learning_rate': 1.9389829784838833e-05, 'epoch': 0.42}
{'loss': 1.0087, 'learning_rate': 1.938064675508438e-05, 'epoch': 0.42}
{'loss': 1.0588, 'learning_rate': 1.9371397346059286e-05, 'epoch': 0.42}
{'loss': 1.0509, 'learning_rate': 1.936208162321415e-05, 'epoch': 0.42}
{'loss': 1.0627, 'learning_rate': 1.9352699652468835e-05, 'epoch': 0.43}
{'loss': 1.0365, 'learning_rate': 1.9343251500211977e-05, 'epoch': 0.43}
{'loss': 1.0195, 'learning_rate': 1.933373723330053e-05, 'epoch': 0.43}
{'loss': 1.0512, 'learning_rate': 1.9324156919059286e-05, 'epoch': 0.43}
{'loss': 1.1061, 'learning_rate': 1.93145106252804e-05, 'epoch': 0.44}
{'loss': 1.0755, 'learning_rate': 1.9304798420222918e-05, 'epoch': 0.44}
{'loss': 1.0983, 'learning_rate': 1.9295020372612276e-05, 'epoch': 0.44}
{'loss': 1.0743, 'learning_rate': 1.9285176551639826e-05, 'epoch': 0.44}
{'loss': 1.1562, 'learning_rate': 1.9275267026962358e-05, 'epoch': 0.45}
{'loss': 1.0982, 'learning_rate': 1.9265291868701584e-05, 'epoch': 0.45}
